"internal_node_id","time_elapsed","trial_type","key_press","rt","player","trial_index","session"
"0.0-0.0",581,"text",32,579,1,0,"0739f3d5-c944-479c-9ff0-b6e27a234b6c"
"0.0-0.0",133578,"text",32,133575,0,0,"ac2c3272-6c01-479c-aa5f-1e40346ec577"
"0.0-0.0",605,"text",32,603,1,0,"ac2c3272-6c01-479c-aa5f-1e40346ec577"
